"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000028111.4",414.308960586902,1.56690451742358,0.234921045745944,6.66991972749054,2.55943377550007e-11,7.25877674677694e-09,"Ctsk"
"ENSMUSG00000005686.17",124.500945094085,-2.1232294217341,0.318912889132584,-6.65770965704491,2.7812750666914e-11,7.72010947235233e-09,"Ampd3"
"ENSMUSG00000037902.18",112.027898546866,1.7859152059096,0.269705173627671,6.62173135905455,3.55015819833748e-11,9.64903413656475e-09,"Sirpa"
"ENSMUSG00000028226.15",203.473695313104,-1.74050842568599,0.263008970281133,-6.61767704662525,3.64887086202114e-11,9.71493250325056e-09,"Mmp16"
"ENSMUSG00000034663.13",206.512109415902,1.8583524550731,0.281119211036969,6.61054948261332,3.82896100799632e-11,9.89360436161841e-09,"Bmp2k"
"ENSMUSG00000040998.18",1138.56431713949,4.80532359362516,0.727081130315763,6.60906107072022,3.86765155942464e-11,9.89360436161841e-09,"Npnt"
"ENSMUSG00000021186.9",438.000882443211,1.54187861447729,0.234647929155958,6.57103013874238,4.99683430959342e-11,1.253628853903e-08,"Fbln5"
"ENSMUSG00000078921.3",45.0937679843832,-2.63380492436638,0.402723337552391,-6.53998583835173,6.15246589314535e-11,1.51443528381083e-08,"Tgtp2"
"ENSMUSG00000025026.15",527.645671190696,-1.1993572776575,0.183473575280597,-6.53694830889547,6.27867364722019e-11,1.51688104447471e-08,"Add3"
"ENSMUSG00000032053.8",428.380585400661,-1.58908498460582,0.243220983006908,-6.53350284568452,6.42489725091595e-11,1.52398562791726e-08,"Pou2af1"
"ENSMUSG00000032501.9",62.0755315868366,-2.1564165156989,0.330278214791216,-6.52909098791779,6.61700465477564e-11,1.54152576296791e-08,"Trib1"
"ENSMUSG00000020641.16",27.4497883410947,-4.14642366634634,0.640579686925928,-6.47292405765249,9.61242721126861e-11,2.20006535786334e-08,"Rsad2"
"ENSMUSG00000060548.13",29.2653853725497,5.09180415072068,0.790530321802172,6.4409979102546,1.18690507232011e-10,2.66971785749796e-08,"Tnfrsf19"
"ENSMUSG00000068246.6",171.268413293218,-1.81664745668595,0.28240857419526,-6.4326922858578,1.25363284887333e-10,2.77201595701721e-08,"Apol9b"
"ENSMUSG00000048126.16",1906.926420631,1.58851155878631,0.247502106706768,6.4181738891957,1.37918670108716e-10,2.99881161706384e-08,"Col6a3"
"ENSMUSG00000023046.6",3646.12568752725,-1.34605692820574,0.210304299805855,-6.40052024351557,1.54848417641191e-10,3.3117253386016e-08,"Igfbp6"
"ENSMUSG00000062866.16",28.6841944877002,3.74356522462315,0.589836592068516,6.34678362611369,2.19863014779176e-10,4.62634337227279e-08,"Phactr2"
"ENSMUSG00000049551.2",42.3311304987248,5.35351434146548,0.846246696114469,6.32618640172667,2.51294232854043e-10,5.20378501875212e-08,"Fzd9"
"ENSMUSG00000048915.12",104.691769807206,2.01766674715851,0.319163294470814,6.32173806359496,2.58637530745474e-10,5.27216441578976e-08,"Efna5"
"ENSMUSG00000003032.8",943.191817932442,-1.34273633642299,0.212770140728645,-6.31073670311399,2.7771031141122e-10,5.57385957333966e-08,"Klf4"
