"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000052062.14",372.219327690478,2.20308215226637,0.205549963955402,10.7179885117585,8.38060809634084e-27,6.30580897763246e-24,"Pard3b"
"ENSMUSG00000036687.13",298.791753043078,-3.03381822861572,0.285410340288405,-10.6296717405195,2.16874470689476e-26,1.55765159607474e-23,"Tmem184a"
"ENSMUSG00000054934.10",140.534184823406,6.08568420314474,0.578011601229183,10.5286540792661,6.37392943104686e-26,4.37888951912919e-23,"Kcnmb4"
"ENSMUSG00000004360.9",82.9292615381869,4.92069539624971,0.474862031581893,10.3623685807382,3.67740915315815e-25,2.4211142512105e-22,"9330159F19Rik"
"ENSMUSG00000069045.11",2375.1221924228,4.68399714557704,0.45412352423781,10.3143679980872,6.06792110550728e-25,3.83516885552482e-22,"Ddx3y"
"ENSMUSG00000099876.1",68.7864794137256,5.0267911542902,0.489985297968484,10.2590652722268,1.07744603585923e-24,6.54797108177374e-22,"Gm29650"
"ENSMUSG00000021676.10",3522.56850842274,1.40310486817147,0.137342838039378,10.2160759760125,1.68004744568589e-24,9.83201099603062e-22,"Iqgap2"
"ENSMUSG00000015134.15",1449.05407269937,2.87867856030094,0.286140454341031,10.060369013289,8.26878246092653e-24,4.66625113089643e-21,"Aldh1a3"
"ENSMUSG00000037820.15",20715.8000119948,-1.56204906890024,0.155496571638067,-10.0455531105602,9.61069877213596e-24,5.23650521719035e-21,"Tgm2"
"ENSMUSG00000024998.17",333.757930580802,4.7796242826873,0.478894410302047,9.98053888261656,1.85456797245138e-23,9.76800951090141e-21,"Plce1"
"ENSMUSG00000075602.10",3826.42121079066,-2.45453825003713,0.251187467003342,-9.77173853186104,1.48875124791685e-22,7.5883091833336e-20,"Ly6a"
"ENSMUSG00000022297.15",107.731390542039,4.15873007732953,0.428424302003034,9.70703589382304,2.81401399448558e-22,1.38950734771458e-19,"Fzd6"
"ENSMUSG00000069049.11",1568.72044975218,5.06649816956214,0.524478432547946,9.66006961420474,4.45561086015456e-22,2.13342749094855e-19,"Eif2s3y"
"ENSMUSG00000045954.7",3178.17763983471,-1.78830206802139,0.185366754405752,-9.6473721717485,5.04314655321613e-22,2.3437281966873e-19,"Cavin2"
"ENSMUSG00000016024.9",892.76271416275,-3.13473514798412,0.326218144301377,-9.60932186864532,7.30283509409374e-22,3.29691706633643e-19,"Lbp"
"ENSMUSG00000003378.9",431.881869381211,-1.82869594034484,0.192181594476048,-9.51545825879157,1.80913741247739e-21,7.94060562626533e-19,"Grik5"
"ENSMUSG00000073678.4",720.475036802872,2.0291350151043,0.213599926591785,9.49969902837195,2.1049780410378e-21,8.98939406119953e-19,"Pgap1"
"ENSMUSG00000114463.1",121.451451684779,-2.97988549979853,0.314877001026962,-9.46364926647462,2.97379511111903e-21,1.23655096186294e-18,"Gm48162"
"ENSMUSG00000020641.16",151.029468010607,-4.30221508951113,0.455420695283048,-9.44668332833945,3.49736913558169e-21,1.41697255670067e-18,"Rsad2"
"ENSMUSG00000032690.16",233.081316992536,-3.80757472783784,0.403888678235702,-9.42728759932165,4.20830415111555e-21,1.66238534729442e-18,"Oas2"
"ENSMUSG00000040998.18",10170.6300240513,5.14435761514927,0.545871374229452,9.42412051265925,4.33725044211108e-21,1.67153400575115e-18,"Npnt"
"ENSMUSG00000071984.11",204.052642712244,8.33226539137782,0.889631493865692,9.36597394407864,7.53520890675239e-21,2.83485323656177e-18,"Fndc1"
